Well,Target,Species,Sample,Concentration,AcceptedDroplets,Ratio,PoissonRatioMax,FractionalAbundance
A01,FAM,Schisto,INF_COPES_10_4_S,13.8,15794,NA,NA,NA
A02,FAM,Schisto,INF_COPES_10_5_S,0.15,15599,NA,NA,NA
A03,FAM,Schisto,INF_COPES_10_6_S,0.08,14859,NA,NA,NA
A07,FAM,Schisto,PCH_10_1_JUNE_S,0,14834,NA,NA,NA
A08,FAM,Schisto,PCH_10_1_JUNE_S,0,14293,NA,NA,NA
A09,FAM,Schisto,PCH_10_1_JUNE_S,0,13282,NA,NA,NA
A10,FAM,Schisto,PCH_10_1_JUNE_M,1.4,15495,1.2e-4,1.8e-4,0.012
A11,FAM,Schisto,PCH_10_1_JUNE_M,1.2,15557,1.1e-4,1.7e-4,0.011
A12,FAM,Schisto,PCH_10_1_JUNE_M,1.3,14555,1.1e-4,1.8e-4,0.011
B01,FAM,Schisto,INF_COPES_10_4_M,12.8,13214,0.49,0.59,33.1
B02,FAM,Schisto,INF_COPES_10_5_M,0.15,15834,0.29,0.77,22
B03,FAM,Schisto,INF_COPES_10_6_M,0.08,14489,0.3,1.2,25
B07,FAM,Schisto,PCH_10_2_JUNE_S,0,14923,NA,NA,NA
B08,FAM,Schisto,PCH_10_2_JUNE_S,0.08,14773,NA,NA,NA
B09,FAM,Schisto,PCH_10_2_JUNE_S,0.26,13505,NA,NA,NA
B10,FAM,Schisto,PCH_10_2_JUNE_M,0.09,13426,8e-5,2.7e-4,0.008
B11,FAM,Schisto,PCH_10_2_JUNE_M,0.17,14014,1.5e-4,3.9e-4,0.015
B12,FAM,Schisto,PCH_10_2_JUNE_M,0,15369,NA,NA,NA
C01,FAM,Schisto,INF_COPES_10_4_S,12.6,15410,NA,NA,NA
C02,FAM,Schisto,INF_COPES_10_5_S,0.08,15354,NA,NA,NA
C03,FAM,Schisto,INF_COPES_10_6_S,0.08,14996,NA,NA,NA
C07,FAM,Schisto,BLA_10_1_MARCH_S,6.4,14364,NA,NA,NA
C08,FAM,Schisto,BLA_10_1_MARCH_S,4.3,15458,NA,NA,NA
C09,FAM,Schisto,BLA_10_1_MARCH_S,6.5,16042,NA,NA,NA
C10,FAM,Schisto,BLA_10_1_MARCH_M,7.2,7877,7.2e-6,1.13e-5,7.2e-4
C11,FAM,Schisto,BLA_10_1_MARCH_M,6.8,9059,6.8e-6,1.06e-5,6.8e-4
C12,FAM,Schisto,BLA_10_1_MARCH_M,6.3,16055,6.3e-6,9.7e-6,6.3e-4
D01,FAM,Schisto,INF_COPES_10_4_M,13.3,15524,0.54,0.64,35.1
D02,FAM,Schisto,INF_COPES_10_5_M,0.16,15137,0.33,0.91,25
D03,FAM,Schisto,INF_COPES_10_6_M,0,14690,NA,NA,NA
D04,FAM,Schisto,UNEX_COPES_10_4_M,0,14944,NA,NA,NA
D05,FAM,Schisto,INF_COPES_10_2_M,3150,13680,0.484,0.51,32.6
D06,FAM,Schisto,INF_COPES_10_3_M,173,14469,0.513,0.541,33.9
D07,FAM,Schisto,BLA_10_2_MARCH_S,0.31,15009,NA,NA,NA
D08,FAM,Schisto,BLA_10_2_MARCH_S,0.08,14840,NA,NA,NA
D09,FAM,Schisto,BLA_10_2_MARCH_S,0.07,15864,NA,NA,NA
D10,FAM,Schisto,BLA_10_2_MARCH_M,0.34,14009,1.6e-4,3.2e-4,0.016
D11,FAM,Schisto,BLA_10_2_MARCH_M,0.34,10277,1.6e-4,3.6e-4,0.016
D12,FAM,Schisto,BLA_10_2_MARCH_M,0.5,9096,2.7e-4,5.5e-4,0.027
E01,FAM,Schisto,INF_COPES_10_4_S,12.1,13284,NA,NA,NA
E02,FAM,Schisto,INF_COPES_10_5_S,0.33,14058,NA,NA,NA
E03,FAM,Schisto,INF_COPES_10_6_S,0,14577,NA,NA,NA
E04,FAM,Schisto,W1_BLA,0,10933,NA,NA,NA
E05,FAM,Schisto,W3_BLK,0.42,11274,2.4e-4,4.8e-4,0.024
E06,FAM,Schisto,W4_BRB,0.09,13381,0.026,0.087,2.5
E07,FAM,Schisto,BOO_10_1_JUNE_M,5.1,13120,9.1e-4,0.00115,0.091
E08,FAM,Schisto,BOO_10_1_JUNE_M,3.7,10512,7.2e-4,9.7e-4,0.072
E09,FAM,Schisto,BOO_10_1_JUNE_M,4.6,14506,8.1e-4,0.00102,0.081
E10,FAM,Schisto,BOO_10_2_JUNE_M,0.39,15124,6e-4,0.0012,0.06
E11,FAM,Schisto,BOO_10_2_JUNE_M,0.65,14388,0.001,0.0017,0.1
E12,FAM,Schisto,BOO_10_2_JUNE_M,0.48,14571,8e-4,0.0014,0.08
F01,FAM,Schisto,INF_COPES_10_4_M,14.5,15183,0.55,0.65,35.7
F02,FAM,Schisto,INF_COPES_10_5_M,0.15,15414,0.2,0.53,17
F03,FAM,Schisto,INF_COPES_10_6_M,0.19,12423,1,3.2,50
F04,FAM,Schisto,W6_ECH,0,5453,NA,NA,NA
F05,FAM,Schisto,W8_SUG,0,5351,NA,NA,NA
F06,FAM,Schisto,W9_COM,0.19,6222,0.07,0.23,6
F11,FAM,Schisto,NTC_S,0,14942,NA,NA,NA
F12,FAM,Schisto,NTC_M,0,14272,NA,NA,NA
G01,FAM,Schisto,W11_BLA,0,13532,NA,NA,NA
G02,FAM,Schisto,W13_BLK,0,11999,NA,NA,NA
G03,FAM,Schisto,W14_BRB,0,12548,NA,NA,NA
G04,FAM,Schisto,W16_ECH,0,12037,NA,NA,NA
G05,FAM,Schisto,W17_FAR,0,13225,NA,NA,NA
G06,FAM,Schisto,W18_SUG,0,12805,NA,NA,NA
G07,FAM,Schisto,W19_COM,0,13003,NA,NA,NA
G08,FAM,Schisto,W20_BOO,0,13010,NA,NA,NA
A04,HEX,Copepod,UNEX_COPES_10_4_S,64.6,14457,NA,NA,NA
A05,HEX,Copepod,UNEX_COPES_10_5_S,4.7,15341,NA,NA,NA
A06,HEX,Copepod,UNEX_COPES_10_6_S,1.1,14982,NA,NA,NA
A10,HEX,Copepod,PCH_10_1_JUNE_M,11400,15495,1.2e-4,1.8e-4,0.012
A11,HEX,Copepod,PCH_10_1_JUNE_M,11400,15557,1.1e-4,1.7e-4,0.011
A12,HEX,Copepod,PCH_10_1_JUNE_M,11300,14555,1.1e-4,1.8e-4,0.011
B01,HEX,Copepod,INF_COPES_10_4_M,25.9,13214,0.49,0.59,33.1
B02,HEX,Copepod,INF_COPES_10_5_M,0.52,15834,0.29,0.77,22
B03,HEX,Copepod,INF_COPES_10_6_M,0.24,14489,0.3,1.2,25
B04,HEX,Copepod,UNEX_COPES_10_4_S,70,15143,NA,NA,NA
B05,HEX,Copepod,UNEX_COPES_10_5_S,6.4,14714,NA,NA,NA
B06,HEX,Copepod,UNEX_COPES_10_6_S,0,6975,NA,NA,NA
B10,HEX,Copepod,PCH_10_2_JUNE_M,1100,13426,8e-5,2.7e-4,0.008
B11,HEX,Copepod,PCH_10_2_JUNE_M,1092,14014,1.5e-4,3.9e-4,0.015
B12,HEX,Copepod,PCH_10_2_JUNE_M,1068,15369,NA,NA,NA
C04,HEX,Copepod,UNEX_COPES_10_4_S,73.2,15531,NA,NA,NA
C05,HEX,Copepod,UNEX_COPES_10_5_S,7.1,14987,NA,NA,NA
C06,HEX,Copepod,UNEX_COPES_10_6_S,0.32,14559,NA,NA,NA
C10,HEX,Copepod,BLA_10_1_MARCH_M,1000000,7877,7.2e-6,1.13e-5,7.2e-4
C11,HEX,Copepod,BLA_10_1_MARCH_M,1000000,9059,6.8e-6,1.06e-5,6.8e-4
C12,HEX,Copepod,BLA_10_1_MARCH_M,1000000,16055,6.3e-6,9.7e-6,6.3e-4
D01,HEX,Copepod,INF_COPES_10_4_M,24.7,15524,0.54,0.64,35.1
D02,HEX,Copepod,INF_COPES_10_5_M,0.47,15137,0.33,0.91,25
D03,HEX,Copepod,INF_COPES_10_6_M,0,14690,NA,NA,NA
D04,HEX,Copepod,UNEX_COPES_10_4_M,69,14944,NA,NA,NA
D05,HEX,Copepod,INF_COPES_10_2_M,6510,13680,0.484,0.51,32.6
D06,HEX,Copepod,INF_COPES_10_3_M,338,14469,0.513,0.541,33.9
D10,HEX,Copepod,BLA_10_2_MARCH_M,2141,14009,1.6e-4,3.2e-4,0.016
D11,HEX,Copepod,BLA_10_2_MARCH_M,2120,10277,1.6e-4,3.6e-4,0.016
D12,HEX,Copepod,BLA_10_2_MARCH_M,1892,9096,2.7e-4,5.5e-4,0.027
E04,HEX,Copepod,W1_BLA,0,10933,NA,NA,NA
E05,HEX,Copepod,W3_BLK,1767,11274,2.4e-4,4.8e-4,0.024
E06,HEX,Copepod,W4_BRB,3.4,13381,0.026,0.087,2.5
E07,HEX,Copepod,BOO_10_1_JUNE_M,5640,13120,9.1e-4,0.00115,0.091
E08,HEX,Copepod,BOO_10_1_JUNE_M,5130,10512,7.2e-4,9.7e-4,0.072
E09,HEX,Copepod,BOO_10_1_JUNE_M,5710,14506,8.1e-4,0.00102,0.081
E10,HEX,Copepod,BOO_10_2_JUNE_M,633,15124,6e-4,0.0012,0.06
E11,HEX,Copepod,BOO_10_2_JUNE_M,644,14388,0.001,0.0017,0.1
E12,HEX,Copepod,BOO_10_2_JUNE_M,645,14571,8e-4,0.0014,0.08
F01,HEX,Copepod,INF_COPES_10_4_M,26.2,15183,0.55,0.65,35.7
F02,HEX,Copepod,INF_COPES_10_5_M,0.76,15414,0.2,0.53,17
F03,HEX,Copepod,INF_COPES_10_6_M,0.19,12423,1,3.2,50
F04,HEX,Copepod,W6_ECH,0,5453,NA,NA,NA
F05,HEX,Copepod,W8_SUG,0.2,5351,NA,NA,NA
F06,HEX,Copepod,W9_COM,2.8,6222,0.07,0.23,6
F07,HEX,Copepod,HI_UNEX_COPES_10_5_S,3.1,14910,NA,NA,NA
F08,HEX,Copepod,HI_UNEX_COPES_10_6_S,0.08,14079,NA,NA,NA
F09,HEX,Copepod,HI_UNEX_COPES_10_5_S,3.4,14740,NA,NA,NA
F10,HEX,Copepod,HI_UNEX_COPES_10_6_S,0.08,14860,NA,NA,NA
F12,HEX,Copepod,NTC_M,0,14272,NA,NA,NA
G01,HEX,Copepod,W11_BLA,0,13532,NA,NA,NA
G02,HEX,Copepod,W13_BLK,727,11999,NA,NA,NA
G03,HEX,Copepod,W14_BRB,12,12548,NA,NA,NA
G04,HEX,Copepod,W16_ECH,3900,12037,NA,NA,NA
G05,HEX,Copepod,W17_FAR,1.7,13225,NA,NA,NA
G06,HEX,Copepod,W18_SUG,0,12805,NA,NA,NA
G07,HEX,Copepod,W19_COM,1.5,13003,NA,NA,NA
G08,HEX,Copepod,W20_BOO,37.4,13010,NA,NA,NA
